## Sun Mar 12 17:57:32 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_vpez1efu --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_vpez1efu --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_vpez1efu/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
g661.t1	202698.XP_007378702.1	1.36e-202	573.0	COG3616@1|root,2QRZ0@2759|Eukaryota,38BQA@33154|Opisthokonta,3NV75@4751|Fungi,3V0HT@5204|Basidiomycota,2271Q@155619|Agaricomycetes,3H2YF@355688|Agaricomycetes incertae sedis	4751|Fungi	E	Putative serine dehydratase domain	-	GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006807,GO:0008150,GO:0008152,GO:0008721,GO:0009056,GO:0009063,GO:0009069,GO:0009071,GO:0009987,GO:0016054,GO:0016829,GO:0016840,GO:0016841,GO:0017144,GO:0019478,GO:0019752,GO:0036088,GO:0042737,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0046395,GO:0046416,GO:0070178,GO:0071704,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606	4.3.1.18	ko:K20498	ko00260,map00260	-	R00221	RC02600	ko00000,ko00001,ko01000	-	-	-	Ala_racemase_N,D-ser_dehydrat
g661.t2	202698.XP_007378702.1	1.09e-197	562.0	COG3616@1|root,2QRZ0@2759|Eukaryota,38BQA@33154|Opisthokonta,3NV75@4751|Fungi,3V0HT@5204|Basidiomycota,2271Q@155619|Agaricomycetes,3H2YF@355688|Agaricomycetes incertae sedis	4751|Fungi	E	Putative serine dehydratase domain	-	GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006807,GO:0008150,GO:0008152,GO:0008721,GO:0009056,GO:0009063,GO:0009069,GO:0009071,GO:0009987,GO:0016054,GO:0016829,GO:0016840,GO:0016841,GO:0017144,GO:0019478,GO:0019752,GO:0036088,GO:0042737,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0046395,GO:0046416,GO:0070178,GO:0071704,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606	4.3.1.18	ko:K20498	ko00260,map00260	-	R00221	RC02600	ko00000,ko00001,ko01000	-	-	-	Ala_racemase_N,D-ser_dehydrat
g662.t1	40483.S8EHZ1	4.47e-149	428.0	COG0657@1|root,KOG1515@2759|Eukaryota,3A1YP@33154|Opisthokonta,3P38F@4751|Fungi,3V53P@5204|Basidiomycota,22EXH@155619|Agaricomycetes,3H8P0@355688|Agaricomycetes incertae sedis	4751|Fungi	V	Carboxylesterase family	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_3
g663.t1	221103.XP_007842792.1	3.49e-58	182.0	COG0251@1|root,KOG2317@2759|Eukaryota,3A3NI@33154|Opisthokonta,3P43C@4751|Fungi,3V5FZ@5204|Basidiomycota,22F1C@155619|Agaricomycetes	4751|Fungi	J	Endoribonuclease L-PSP	-	-	-	-	-	-	-	-	-	-	-	-	Ribonuc_L-PSP
g664.t1	984962.XP_009541101.1	2.77e-211	615.0	KOG0147@1|root,KOG0147@2759|Eukaryota,39R6Y@33154|Opisthokonta,3NV0X@4751|Fungi,3UYSN@5204|Basidiomycota,22685@155619|Agaricomycetes,3H0VN@355688|Agaricomycetes incertae sedis	4751|Fungi	A	Splicing factor, CC1-like protein	rsd1	GO:0000375,GO:0000377,GO:0000398,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005681,GO:0006139,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008380,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0032991,GO:0034641,GO:0043021,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0044877,GO:0045292,GO:0046483,GO:0070990,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1990446,GO:1990904	-	ko:K13091	-	-	-	-	ko00000,ko03041	-	-	-	RBM39linker,RRM_1
g665.t1	40483.S8FRI0	4.37e-154	436.0	COG1028@1|root,KOG1200@2759|Eukaryota,38HX1@33154|Opisthokonta,3NU8F@4751|Fungi,3UY0J@5204|Basidiomycota,22FPG@155619|Agaricomycetes,3H4A8@355688|Agaricomycetes incertae sedis	4751|Fungi	Q	KR domain	DHG2	GO:0003674,GO:0003824,GO:0003954,GO:0005975,GO:0005996,GO:0008150,GO:0008152,GO:0009056,GO:0016052,GO:0016491,GO:0016651,GO:0019299,GO:0019301,GO:0019318,GO:0019320,GO:0044238,GO:0044281,GO:0044282,GO:0046365,GO:0055114,GO:0071704,GO:1901575	1.1.1.173,1.1.1.377,1.1.1.378	ko:K18337	ko00051,ko01120,map00051,map01120	-	R03942,R10788,R10995	RC00066,RC00161	ko00000,ko00001,ko01000	-	-	-	adh_short_C2
g666.t1	40483.S8EFL4	1.34e-54	177.0	2E1Q6@1|root,2S90D@2759|Eukaryota,3AAK0@33154|Opisthokonta,3P7RE@4751|Fungi,3V2P2@5204|Basidiomycota,229SC@155619|Agaricomycetes,3H5F7@355688|Agaricomycetes incertae sedis	4751|Fungi	S	Cupin domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Cupin_2
g667.t1	40492.XP_007298305.1	1.13e-169	484.0	KOG4546@1|root,KOG4546@2759|Eukaryota,38GNP@33154|Opisthokonta,3NXIQ@4751|Fungi,3UZTW@5204|Basidiomycota,2252B@155619|Agaricomycetes,3H3US@355688|Agaricomycetes incertae sedis	4751|Fungi	U	Peroxisome membrane protein	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005777,GO:0005778,GO:0006605,GO:0006612,GO:0006625,GO:0006810,GO:0006886,GO:0006996,GO:0007031,GO:0008104,GO:0008150,GO:0009987,GO:0015031,GO:0015833,GO:0015919,GO:0016020,GO:0016043,GO:0016558,GO:0017038,GO:0031090,GO:0031903,GO:0033036,GO:0033365,GO:0034613,GO:0042579,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043574,GO:0044422,GO:0044424,GO:0044438,GO:0044439,GO:0044444,GO:0044446,GO:0044464,GO:0044743,GO:0045046,GO:0045184,GO:0046907,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055085,GO:0065002,GO:0070727,GO:0071702,GO:0071705,GO:0071806,GO:0071840,GO:0072594,GO:0072657,GO:0072662,GO:0072663,GO:0090150,GO:0098588,GO:0098805	-	ko:K13335	ko04146,map04146	-	-	-	ko00000,ko00001	3.A.20.1,9.A.17.1	-	-	Pex16
g668.t1	104355.XP_007861030.1	2e-41	162.0	2EE87@1|root,2SJPK@2759|Eukaryota,3AET5@33154|Opisthokonta,3PCSP@4751|Fungi,3V4B3@5204|Basidiomycota,2299R@155619|Agaricomycetes,3H4JW@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g669.t1	40483.S8G0D0	7.46e-151	461.0	29QEY@1|root,2RX8H@2759|Eukaryota,3A0M8@33154|Opisthokonta,3P1Q2@4751|Fungi,3V0M9@5204|Basidiomycota,2252C@155619|Agaricomycetes,3H2F4@355688|Agaricomycetes incertae sedis	4751|Fungi	S	CorA-like Mg2+ transporter protein	-	-	-	ko:K16073	-	-	-	-	ko00000,ko02000	1.A.35.2	-	-	CorA
g670.t1	40483.S8EJG4	1.38e-207	611.0	KOG2287@1|root,KOG2287@2759|Eukaryota,3AG4W@33154|Opisthokonta,3NY5H@4751|Fungi,3V49V@5204|Basidiomycota,22621@155619|Agaricomycetes,3H0DR@355688|Agaricomycetes incertae sedis	4751|Fungi	G	galactosyltransferase activity	-	GO:0000271,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005975,GO:0005976,GO:0008150,GO:0008152,GO:0008194,GO:0008378,GO:0009058,GO:0009059,GO:0009987,GO:0012505,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0033692,GO:0034637,GO:0034645,GO:0035250,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0047220,GO:0051072,GO:0071704,GO:0140096,GO:0140103,GO:1901576	-	-	-	-	-	-	-	-	-	-	Galactosyl_T
g671.t1	40483.S8FT20	1.93e-142	414.0	2AT5F@1|root,2RZRD@2759|Eukaryota,3A1N3@33154|Opisthokonta,3P3EX@4751|Fungi,3V10C@5204|Basidiomycota,225PR@155619|Agaricomycetes,3H0RG@355688|Agaricomycetes incertae sedis	4751|Fungi	O	Glutathione S-transferase, N-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	GST_C,GST_C_2,GST_C_3,GST_N_3
g672.t1	104355.XP_007860195.1	1.72e-101	298.0	COG5091@1|root,KOG1309@2759|Eukaryota,38TPS@33154|Opisthokonta,3P0UK@4751|Fungi,3V157@5204|Basidiomycota,224X4@155619|Agaricomycetes,3H2IN@355688|Agaricomycetes incertae sedis	4751|Fungi	T	SGS-domain-containing protein	SGT1	GO:0000151,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006457,GO:0006996,GO:0007154,GO:0007165,GO:0008150,GO:0009987,GO:0016043,GO:0019932,GO:0019933,GO:0019935,GO:0022607,GO:0023052,GO:0030674,GO:0032991,GO:0034508,GO:0034622,GO:0035556,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051087,GO:0051276,GO:0051382,GO:0051383,GO:0051716,GO:0060090,GO:0065003,GO:0065004,GO:0065007,GO:0070925,GO:0071824,GO:0071840,GO:1902494,GO:1990234	-	ko:K12795	ko04621,ko04626,map04621,map04626	-	-	-	ko00000,ko00001	-	-	-	CS,SGS
g673.t1	40492.XP_007303344.1	2.37e-114	340.0	2BQ55@1|root,2S1TC@2759|Eukaryota,39UZG@33154|Opisthokonta,3Q67N@4751|Fungi,3V4XZ@5204|Basidiomycota,22EI0@155619|Agaricomycetes,3H8FJ@355688|Agaricomycetes incertae sedis	4751|Fungi	S	RTA1 like protein	-	-	-	-	-	-	-	-	-	-	-	-	RTA1
g674.t1	202698.XP_007380551.1	1.01e-90	279.0	2CN6G@1|root,2QU4U@2759|Eukaryota,39V42@33154|Opisthokonta,3NWCU@4751|Fungi,3VCBS@5204|Basidiomycota,225NB@155619|Agaricomycetes,3H0TS@355688|Agaricomycetes incertae sedis	4751|Fungi	S	RTA1-domain-containing protein	RTA3	GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0003824,GO:0004012,GO:0005215,GO:0005319,GO:0005548,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005783,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006869,GO:0008150,GO:0009987,GO:0010876,GO:0012505,GO:0015695,GO:0015696,GO:0015711,GO:0015748,GO:0015914,GO:0016020,GO:0016021,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0031224,GO:0033036,GO:0034204,GO:0042623,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0045332,GO:0051179,GO:0051234,GO:0061024,GO:0065007,GO:0065008,GO:0071702,GO:0071705,GO:0071840,GO:0071944,GO:0097035,GO:1905329	-	-	-	-	-	-	-	-	-	-	RTA1
g675.t1	40483.S8EGX8	1e-85	259.0	COG0262@1|root,KOG1324@2759|Eukaryota,3A5M4@33154|Opisthokonta,3P56D@4751|Fungi,3V1E7@5204|Basidiomycota,228X8@155619|Agaricomycetes,3H4SI@355688|Agaricomycetes incertae sedis	4751|Fungi	H	dihydrofolate reductase	-	GO:0003674,GO:0003824,GO:0004146,GO:0006082,GO:0006575,GO:0006725,GO:0006732,GO:0006760,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009396,GO:0009987,GO:0016053,GO:0016491,GO:0016645,GO:0016646,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0042398,GO:0042558,GO:0042559,GO:0043436,GO:0043603,GO:0043604,GO:0043648,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046394,GO:0046452,GO:0046483,GO:0046653,GO:0046654,GO:0051186,GO:0051188,GO:0055114,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	1.5.1.3	ko:K00287	ko00670,ko00790,ko01100,ko01523,map00670,map00790,map01100,map01523	M00126,M00840	R00936,R00937,R00939,R00940,R02235,R02236,R11765	RC00109,RC00110,RC00158	ko00000,ko00001,ko00002,ko01000	-	-	-	DHFR_1,FSH1
g676.t1	104355.XP_007861018.1	2.24e-125	375.0	2CXT0@1|root,2RZIB@2759|Eukaryota,39K7R@33154|Opisthokonta,3Q4KJ@4751|Fungi,3V0ZS@5204|Basidiomycota,226Z2@155619|Agaricomycetes,3H1XV@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EamA
g676.t2	104355.XP_007861018.1	6.55e-96	296.0	2CXT0@1|root,2RZIB@2759|Eukaryota,39K7R@33154|Opisthokonta,3Q4KJ@4751|Fungi,3V0ZS@5204|Basidiomycota,226Z2@155619|Agaricomycetes,3H1XV@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EamA
g677.t1	104355.XP_007861019.1	8.5e-237	674.0	COG0639@1|root,KOG0374@2759|Eukaryota,38BGF@33154|Opisthokonta,3NUEW@4751|Fungi,3UZJJ@5204|Basidiomycota,224ER@155619|Agaricomycetes,3H3DN@355688|Agaricomycetes incertae sedis	4751|Fungi	T	Phospho protein phosphatase PPZ	pzh1	GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0003824,GO:0004721,GO:0004722,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005773,GO:0005886,GO:0006464,GO:0006470,GO:0006793,GO:0006796,GO:0006807,GO:0006873,GO:0006875,GO:0006883,GO:0007154,GO:0007165,GO:0008104,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019538,GO:0019725,GO:0019897,GO:0019898,GO:0023052,GO:0030003,GO:0030004,GO:0033036,GO:0034613,GO:0036211,GO:0042578,GO:0042592,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0048878,GO:0050789,GO:0050794,GO:0050801,GO:0050896,GO:0051179,GO:0051641,GO:0051716,GO:0055065,GO:0055067,GO:0055078,GO:0055080,GO:0055082,GO:0065007,GO:0065008,GO:0070727,GO:0071704,GO:0071944,GO:0098771,GO:0140096,GO:1901564	3.1.3.16	ko:K06269	ko03015,ko04022,ko04024,ko04113,ko04114,ko04218,ko04261,ko04270,ko04390,ko04510,ko04611,ko04720,ko04728,ko04750,ko04810,ko04910,ko04921,ko04931,ko05031,ko05034,ko05168,ko05205,map03015,map04022,map04024,map04113,map04114,map04218,map04261,map04270,map04390,map04510,map04611,map04720,map04728,map04750,map04810,map04910,map04921,map04931,map05031,map05034,map05168,map05205	-	-	-	ko00000,ko00001,ko01000,ko01009,ko03019,ko03021,ko03041	-	-	-	Metallophos,STPPase_N
g679.t1	40483.S8EM05	0.0	1124.0	COG1793@1|root,KOG0967@2759|Eukaryota,38FCP@33154|Opisthokonta,3NW9U@4751|Fungi,3UZV7@5204|Basidiomycota,226MI@155619|Agaricomycetes,3H1GK@355688|Agaricomycetes incertae sedis	4751|Fungi	L	DNA ligase	cdc17	GO:0000228,GO:0000278,GO:0003674,GO:0003824,GO:0003909,GO:0003910,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005657,GO:0005694,GO:0005737,GO:0005739,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006266,GO:0006271,GO:0006273,GO:0006281,GO:0006284,GO:0006289,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016043,GO:0016070,GO:0016874,GO:0016886,GO:0022402,GO:0022616,GO:0031974,GO:0031981,GO:0033260,GO:0033554,GO:0033567,GO:0034641,GO:0034645,GO:0035753,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043570,GO:0043596,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044444,GO:0044446,GO:0044454,GO:0044464,GO:0044786,GO:0046483,GO:0050896,GO:0051276,GO:0051716,GO:0070013,GO:0071704,GO:0071840,GO:0090304,GO:0140097,GO:1901360,GO:1901576,GO:1902969,GO:1903047,GO:1903461	6.5.1.1,6.5.1.6,6.5.1.7	ko:K10747	ko03030,ko03410,ko03420,ko03430,map03030,map03410,map03420,map03430	-	R00381,R00382,R10822,R10823	RC00005	ko00000,ko00001,ko01000,ko03032,ko03400	-	-	-	DNA_ligase_A_C,DNA_ligase_A_M,DNA_ligase_A_N
g679.t2	40483.S8EM05	0.0	1124.0	COG1793@1|root,KOG0967@2759|Eukaryota,38FCP@33154|Opisthokonta,3NW9U@4751|Fungi,3UZV7@5204|Basidiomycota,226MI@155619|Agaricomycetes,3H1GK@355688|Agaricomycetes incertae sedis	4751|Fungi	L	DNA ligase	cdc17	GO:0000228,GO:0000278,GO:0003674,GO:0003824,GO:0003909,GO:0003910,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005657,GO:0005694,GO:0005737,GO:0005739,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006266,GO:0006271,GO:0006273,GO:0006281,GO:0006284,GO:0006289,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016043,GO:0016070,GO:0016874,GO:0016886,GO:0022402,GO:0022616,GO:0031974,GO:0031981,GO:0033260,GO:0033554,GO:0033567,GO:0034641,GO:0034645,GO:0035753,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043570,GO:0043596,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044444,GO:0044446,GO:0044454,GO:0044464,GO:0044786,GO:0046483,GO:0050896,GO:0051276,GO:0051716,GO:0070013,GO:0071704,GO:0071840,GO:0090304,GO:0140097,GO:1901360,GO:1901576,GO:1902969,GO:1903047,GO:1903461	6.5.1.1,6.5.1.6,6.5.1.7	ko:K10747	ko03030,ko03410,ko03420,ko03430,map03030,map03410,map03420,map03430	-	R00381,R00382,R10822,R10823	RC00005	ko00000,ko00001,ko01000,ko03032,ko03400	-	-	-	DNA_ligase_A_C,DNA_ligase_A_M,DNA_ligase_A_N
g680.t1	104355.XP_007860311.1	4.36e-70	213.0	KOG1590@1|root,KOG1590@2759|Eukaryota,3A5JS@33154|Opisthokonta,3P5SQ@4751|Fungi,3V1C3@5204|Basidiomycota,229E3@155619|Agaricomycetes,3H55B@355688|Agaricomycetes incertae sedis	4751|Fungi	C	Mediates the uptake of pyruvate into mitochondria	-	GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006810,GO:0006811,GO:0006820,GO:0006839,GO:0006848,GO:0006850,GO:0008028,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015318,GO:0015711,GO:0015718,GO:0015849,GO:0016020,GO:0016021,GO:0019866,GO:0022857,GO:0031090,GO:0031224,GO:0031300,GO:0031301,GO:0031304,GO:0031305,GO:0031966,GO:0031967,GO:0031975,GO:0032592,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0046942,GO:0046943,GO:0050833,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0098573,GO:0098656,GO:1901475,GO:1903825,GO:1905039,GO:1990542	-	ko:K22138	-	-	-	-	ko00000,ko02000,ko03029	2.A.105.1	-	-	MPC
g682.t1	221103.XP_007854038.1	6.97e-161	452.0	COG1443@1|root,KOG0142@2759|Eukaryota,38DS6@33154|Opisthokonta,3NU8E@4751|Fungi,3UZYA@5204|Basidiomycota,2274J@155619|Agaricomycetes,3W4S9@5338|Agaricales	4751|Fungi	Q	NUDIX domain	IDI1	GO:0003674,GO:0003824,GO:0004452,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006629,GO:0006644,GO:0006720,GO:0006721,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0008654,GO:0009058,GO:0009240,GO:0009987,GO:0016114,GO:0016853,GO:0016860,GO:0016863,GO:0019637,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0045337,GO:0045338,GO:0046490,GO:0071704,GO:0090407,GO:1901576	5.3.3.2	ko:K01823	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00095,M00096,M00364,M00365,M00366,M00367	R01123	RC00455	ko00000,ko00001,ko00002,ko01000	-	-	-	NUDIX
g683.t1	40483.S8EJE4	6.53e-163	511.0	KOG1213@1|root,KOG1213@2759|Eukaryota,39V5X@33154|Opisthokonta,3NY2J@4751|Fungi,3V1G3@5204|Basidiomycota,224WJ@155619|Agaricomycetes,3H20N@355688|Agaricomycetes incertae sedis	4751|Fungi	D	N terminus of Rad21 / Rec8 like protein	rec8	GO:0000003,GO:0000228,GO:0000280,GO:0000775,GO:0000776,GO:0000777,GO:0000778,GO:0000779,GO:0000780,GO:0000785,GO:0000790,GO:0000792,GO:0000793,GO:0000794,GO:0000798,GO:0000819,GO:0000939,GO:0000941,GO:0003674,GO:0003682,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005720,GO:0005721,GO:0005819,GO:0005856,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007059,GO:0007062,GO:0007127,GO:0007129,GO:0007135,GO:0008150,GO:0008152,GO:0008278,GO:0008608,GO:0009987,GO:0010789,GO:0015630,GO:0016043,GO:0022402,GO:0022414,GO:0030893,GO:0031618,GO:0031974,GO:0031981,GO:0032991,GO:0033554,GO:0034641,GO:0034991,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044430,GO:0044446,GO:0044454,GO:0044464,GO:0045132,GO:0045143,GO:0045144,GO:0046483,GO:0048285,GO:0050896,GO:0051177,GO:0051276,GO:0051316,GO:0051321,GO:0051455,GO:0051716,GO:0051754,GO:0061982,GO:0061983,GO:0070013,GO:0070192,GO:0070601,GO:0071704,GO:0071840,GO:0072687,GO:0090304,GO:0098687,GO:0098813,GO:0140013,GO:1901360,GO:1903046	-	ko:K12780,ko:K13054	ko04113,ko04114,map04113,map04114	-	-	-	ko00000,ko00001,ko03036	-	-	-	Rad21_Rec8,Rad21_Rec8_N
g685.t1	40483.S8ELZ8	4.99e-146	451.0	COG0494@1|root,KOG2937@2759|Eukaryota,38CUB@33154|Opisthokonta,3NYHF@4751|Fungi,3V0BB@5204|Basidiomycota,227VW@155619|Agaricomycetes,3H3GN@355688|Agaricomycetes incertae sedis	4751|Fungi	A	DCP2-domain-containing protein	DCP2	GO:0000166,GO:0000287,GO:0000288,GO:0000290,GO:0000291,GO:0000932,GO:0000956,GO:0003674,GO:0003676,GO:0003682,GO:0003723,GO:0003727,GO:0003729,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005845,GO:0006139,GO:0006355,GO:0006357,GO:0006401,GO:0006402,GO:0006725,GO:0006807,GO:0006996,GO:0008144,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0010468,GO:0010494,GO:0010556,GO:0010557,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0016020,GO:0016043,GO:0016070,GO:0016071,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0019219,GO:0019222,GO:0019439,GO:0022607,GO:0022613,GO:0022618,GO:0030554,GO:0031086,GO:0031087,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031334,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0034063,GO:0034428,GO:0034518,GO:0034622,GO:0034641,GO:0034655,GO:0035639,GO:0035770,GO:0036094,GO:0036464,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043254,GO:0043933,GO:0044085,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0045893,GO:0045935,GO:0045944,GO:0046483,GO:0046700,GO:0046872,GO:0048518,GO:0048519,GO:0048522,GO:0050072,GO:0050789,GO:0050794,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0060260,GO:0060261,GO:0065003,GO:0065007,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0080090,GO:0090304,GO:0090305,GO:0097159,GO:0097367,GO:0098552,GO:0098562,GO:0098745,GO:1901265,GO:1901360,GO:1901361,GO:1901363,GO:1901575,GO:1902680,GO:1903506,GO:1903508,GO:1990904,GO:2000112,GO:2000142,GO:2000144,GO:2001141	3.6.1.62	ko:K12613,ko:K22073	ko03018,map03018	M00395	R10815	RC00002	ko00000,ko00001,ko00002,ko01000,ko03019,ko03029	-	-	-	DCP2,NUDIX
g686.t1	85982.XP_007320440.1	6.28e-196	568.0	COG0277@1|root,2QQWK@2759|Eukaryota,38BWH@33154|Opisthokonta,3NYDN@4751|Fungi,3V7DR@5204|Basidiomycota,229IK@155619|Agaricomycetes	4751|Fungi	C	Belongs to the oxygen-dependent FAD-linked oxidoreductase family	-	-	-	-	-	-	-	-	-	-	-	-	BBE,FAD_binding_4
